Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.434138,0.956757,0.136549
1,0.391156,0.958426,0.133692
2,0.352436,0.960051,0.13109
3,0.301757,0.96239,0.12765
4,0.245586,0.965362,0.123744
5,0.189966,0.968933,0.119626
6,0.139522,0.973262,0.115197
7,0.0969702,0.978554,0.109749
8,0.0636345,0.980774,0.104547
9,0.0398877,0.983527,0.101522
10,0.023803,0.98444,0.0993067
11,0.0135431,0.984742,0.0977667
12,0.00724035,0.985385,0.0969961
13,0.00366326,0.985737,0.0965802
14,0.00199332,0.985883,0.0963113
