Iteration,rel. Discrepancy,Norm
0,1,0
1,0.977054,0.00273771
2,0.968977,0.00462711
3,0.929828,0.0242722
4,0.900051,0.0402126
5,0.863663,0.0596496
6,0.837231,0.073918
7,0.76357,0.113023
