Tolerance,Required Steps
0.7,1
0.7,2
0.8075,2
0.767125,2
0.728769,3
0.77822,4
0.791982,5
0.791906,5
0.752311,6
0.753913,8
0.774663,10
0.778744,13
0.788313,15
0.775711,18
0.772438,24
0.787862,36
0.815646,39
0.788336,49
0.789956,61
0.789712,74
0.785322,87
0.77653,120
0.796085,144
0.788567,184
0.823705,192
