Iteration,rel. Discrepancy,Norm
0,1,0
1,0.993268,0.00173051
2,0.986486,0.00415882
3,0.960043,0.01834
4,0.945849,0.0269923
5,0.934581,0.0353306
6,0.931963,0.0375396
7,0.917423,0.0526109
8,0.915573,0.0547874
9,0.914752,0.0557961
10,0.911573,0.0600148
11,0.907091,0.0669197
12,0.903109,0.0739908
