Iteration,rel. Discrepancy,Norm
0,1,0
1,0.812969,0.00979428
2,0.782013,0.0115737
3,0.772166,0.0123515
4,0.756233,0.0143196
5,0.750657,0.0152715
6,0.746346,0.0162614
