Iteration,rel. Discrepancy,Norm
0,1,0
1,0.998862,9.95151e-05
2,0.997649,0.000229792
3,0.996162,0.000429712
4,0.995464,0.000541971
5,0.994985,0.000634442
6,0.994765,0.000682879
7,0.9944,0.000778167
8,0.994115,0.000868287
9,0.993964,0.000921965
10,0.99375,0.0010074
11,0.993618,0.00106586
12,0.993543,0.00110148
13,0.99348,0.00113305
14,0.993391,0.00118141
15,0.993335,0.00121564
16,0.993316,0.00122773
17,0.993277,0.00125488
18,0.993226,0.00129446
19,0.993188,0.00132663
20,0.993167,0.00134616
21,0.993137,0.00137469
22,0.993117,0.00139615
23,0.993094,0.0014209
24,0.993066,0.00145411
25,0.993034,0.0014946
26,0.993014,0.00152311
27,0.993002,0.00154024
28,0.992982,0.00157027
29,0.992965,0.00159751
30,0.992954,0.0016155
31,0.992935,0.00164835
32,0.992913,0.00168959
33,0.9929,0.00171417
34,0.992886,0.00174294
35,0.992869,0.00177811
36,0.992854,0.00181241
37,0.992847,0.00182765
38,0.992836,0.00185494
39,0.992822,0.00188754
40,0.992813,0.00191249
41,0.992803,0.00193669
42,0.992787,0.00198151
43,0.992769,0.00203448
44,0.992762,0.00205718
45,0.992753,0.00208325
46,0.992744,0.00211136
47,0.992735,0.00214164
48,0.992725,0.00217804
49,0.992712,0.00222197
50,0.992704,0.00225209
51,0.992698,0.0022738
52,0.992688,0.00231394
53,0.992674,0.00236711
54,0.99267,0.00238488
55,0.992661,0.0024229
56,0.99265,0.00246876
57,0.992644,0.00249573
58,0.992638,0.00252338
59,0.992626,0.00257666
60,0.992618,0.00261432
61,0.992612,0.00264446
62,0.992603,0.00268565
63,0.992597,0.00271518
64,0.992593,0.00273792
65,0.992585,0.00277698
66,0.992577,0.00281933
67,0.992571,0.00285447
68,0.992564,0.00288825
69,0.992558,0.00292312
70,0.99255,0.00297012
71,0.992546,0.00299117
72,0.992537,0.00304864
73,0.99253,0.00308875
74,0.992524,0.00312532
75,0.992513,0.00319505
76,0.992504,0.0032538
77,0.992492,0.00333219
78,0.992475,0.00344492
79,0.992469,0.00348151
80,0.992456,0.00357431
81,0.992448,0.00363199
82,0.992438,0.00369895
83,0.992424,0.00380277
84,0.992419,0.00384527
85,0.992405,0.00394837
86,0.992394,0.00403233
87,0.992384,0.00411234
88,0.99238,0.00414602
89,0.992363,0.00428065
90,0.992351,0.00438288
91,0.992341,0.00446365
92,0.992332,0.00453856
93,0.992324,0.00461036
94,0.992312,0.00471128
95,0.992307,0.004757
96,0.992296,0.00484853
97,0.992287,0.00492866
98,0.992281,0.00498742
99,0.992265,0.00512701
100,0.992254,0.00522965
101,0.992244,0.00532057
102,0.992232,0.00543289
103,0.992226,0.00548308
104,0.992214,0.00559631
105,0.992209,0.00564802
106,0.992197,0.00576226
107,0.992186,0.00586236
108,0.992179,0.00592808
109,0.992163,0.00608876
110,0.992149,0.00622067
111,0.992134,0.00637383
112,0.992124,0.00647187
113,0.992111,0.00660218
114,0.992099,0.0067232
115,0.992089,0.00682504
116,0.992081,0.00690784
117,0.992073,0.00700042
118,0.992054,0.00719764
119,0.992041,0.00732993
120,0.992028,0.00746936
121,0.99202,0.00755434
122,0.991999,0.0077799
123,0.991984,0.00794274
124,0.991964,0.00816278
125,0.991948,0.00834361
126,0.991934,0.0084883
127,0.991918,0.00867065
128,0.991901,0.00885805
129,0.991893,0.00894739
130,0.991874,0.00915979
131,0.991861,0.00930005
132,0.991844,0.00949101
133,0.99182,0.00976117
134,0.991798,0.01002
135,0.991776,0.010265
136,0.991765,0.0103998
137,0.991748,0.0105944
138,0.991724,0.0108681
139,0.991712,0.0110142
140,0.991684,0.0113393
141,0.991665,0.0115702
142,0.991646,0.0117932
143,0.991631,0.0119707
144,0.99161,0.0122145
145,0.991594,0.0124119
146,0.991577,0.0126067
147,0.991546,0.0129825
148,0.991516,0.0133488
149,0.991488,0.0136933
150,0.991466,0.013962
151,0.991432,0.0143767
152,0.991406,0.0147004
153,0.991385,0.0149595
154,0.991362,0.0152387
155,0.991338,0.0155399
156,0.991291,0.0161245
157,0.991255,0.0165689
158,0.991218,0.0170376
159,0.991175,0.0175809
160,0.991144,0.0179673
161,0.99111,0.0184013
162,0.99109,0.018645
163,0.991059,0.0190439
164,0.991017,0.0195764
165,0.99097,0.0201723
166,0.99094,0.0205631
167,0.990893,0.0211662
168,0.990857,0.0216243
169,0.99084,0.0218472
170,0.990771,0.0227329
171,0.99073,0.0232745
172,0.990701,0.0236437
173,0.990673,0.0240048
174,0.990605,0.0248922
175,0.990564,0.0254265
176,0.990544,0.025681
177,0.990504,0.0262063
178,0.990469,0.0266564
179,0.99042,0.0272977
180,0.990375,0.027882
181,0.990318,0.0286302
182,0.990274,0.0292105
183,0.990235,0.0297183
184,0.990166,0.0306285
185,0.990118,0.0312456
186,0.990073,0.0318469
187,0.990003,0.0327554
188,0.989939,0.0335987
189,0.989908,0.0340027
190,0.989878,0.0344026
191,0.989804,0.0353734
192,0.989751,0.0360735
193,0.98972,0.0364853
194,0.989659,0.0372898
195,0.989615,0.0378751
196,0.989561,0.0385872
197,0.989498,0.0394242
198,0.989434,0.0402686
199,0.989375,0.0410522
200,0.989348,0.0414117
201,0.989276,0.0423668
202,0.989241,0.0428314
203,0.989164,0.043858
204,0.98911,0.0445746
205,0.989046,0.0454172
206,0.989008,0.0459268
207,0.988926,0.0470176
208,0.988867,0.0478014
209,0.988806,0.0486183
210,0.98876,0.0492324
211,0.988687,0.0501964
212,0.988616,0.0511479
