Tolerance,Required Steps
0.9,1
0.9,1
0.855,2
0.81225,2
0.771637,4
0.733056,6
0.696403,10
0.817842,10
0.817842,14
0.869887,14
0.869887,15
0.878561,22
0.917201,21
0.871341,29
0.906833,38
0.928899,22
0.882454,60
0.9569,18
0.909055,36
0.954527,35
0.906801,71
0.954057,47
0.906354,108
0.959247,35
0.911284,111
0.972027,33
0.923425,126
0.979945,37
0.930947,128
0.98004,46
0.931038,144
0.97797,35
0.929072,156
0.984087,32
0.934882,188
0.988916,21
0.93947,201
0.993676,26
0.943992,157
0.990725,29
0.941189,181
0.990577,24
0.941048,205
0.993098,38
0.943443,193
0.988865,42
0.939421,235
0.989173,48
0.939715,265
0.98908,44
0.939626,252
0.989459,44
0.939986,296
0.991079,39
0.941525,326
0.993005,20
0.943354,320
0.99646,11
0.946637,228
0.997425,2
0.947554,230
0.900176,232
0.901037,462
0.950304,404
0.902789,814
0.951753,505
0.904165,828
0.94155,730
