Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.109284,0.666667,0.333333
1,0.10862,0.667154,0.332964
2,0.108078,0.667721,0.332759
3,0.107468,0.668736,0.332767
4,0.107061,0.670449,0.333429
5,0.107255,0.673333,0.335461
6,0.107824,0.678432,0.339404
