Tolerance,Required Steps
0.9,1
0.9,2
0.854145,3
0.810626,3
0.769325,3
0.730128,6
0.692928,5
0.657623,10
0.624117,8
0.592318,8
0.591726,10
0.672708,8
0.638433,13
0.77672,9
0.737146,15
0.841445,8
0.798574,13
0.875169,8
0.830579,12
0.886166,5
0.841016,13
0.798166,15
0.824252,11
0.782256,16
0.849451,2
0.806171,16
0.765097,17
0.778136,16
0.73849,20
0.790001,3
0.749751,22
0.711551,22
0.710839,22
0.710128,21
0.673947,29
0.763129,4
0.724248,28
0.687347,30
0.707483,17
0.671436,38
0.852158,1
0.808741,2
0.767535,3
0.728429,5
0.691316,8
0.656093,13
0.787577,21
0.867631,1
0.823426,7
0.781472,8
0.807979,14
0.889384,1
0.844069,8
0.801064,9
0.822345,17
0.905041,1
0.85893,8
0.815167,9
0.834868,17
0.911665,1
0.865215,4
0.821133,5
0.779296,9
0.739591,14
0.831762,4
0.789383,18
0.749164,22
0.793976,2
0.753523,21
0.715131,19
0.678695,23
0.73384,2
0.69645,19
0.660966,19
0.660305,6
0.626663,25
0.909489,1
0.86315,1
0.819173,2
0.777436,3
0.737826,5
0.700233,8
