Tolerance,Required Steps
0.9,1
0.9,1
0.855,1
0.81225,2
0.771637,2
0.733056,1
0.696403,1
0.661583,2
0.628504,3
0.597078,5
0.567224,6
0.538863,9
0.692575,11
0.748471,13
0.787168,17
0.961569,7
0.999,2
