Tolerance,Required Steps
0.9,1
0.9,2
0.855,3
0.81225,3
0.771637,2
0.733056,5
0.696403,7
0.661583,12
0.80259,12
0.80259,24
0.901295,36
0.934197,43
0.944909,57
0.95844,43
0.910518,100
0.961523,55
0.913447,155
0.969288,80
0.920823,228
0.972219,89
0.923608,272
0.975004,113
0.926254,384
0.978299,128
0.929384,462
0.980435,124
0.931414,442
0.980759,80
0.931721,271
0.979844,87
0.930852,358
0.983196,132
0.934036,490
0.98223,162
0.933119,578
0.981255,206
0.932192,730
0.980865,210
0.931822,669
0.978599,209
0.929669,650
0.977386,270
0.928517,904
0.97865,410
0.929717,1314
0.97807,757
0.929167,2071
0.974109,1119
0.925403,2924
0.971452,1122
0.92288,4046
0.978614,1604
0.929683,5650
0.980037,2099
0.931036,7132
0.979703,4109
0.930718,11241
0.974675,8545
0.925941,19786
0.968016,16106
