Iteration,rel. Discrepancy,Norm
0,1,0
1,0.939864,0.0100783
2,0.876713,0.0229824
3,0.850892,0.0299909
4,0.833759,0.0363603
5,0.82525,0.0402016
6,0.809076,0.0494323
7,0.797196,0.0579266
8,0.789555,0.0641504
9,0.774304,0.0784386
10,0.755672,0.0986136
11,0.747986,0.107622
12,0.723474,0.138009
13,0.706088,0.160577
14,0.696848,0.172819
15,0.664895,0.215968
16,0.635001,0.256723
17,0.621226,0.275499
18,0.610898,0.289537
19,0.592765,0.314079
20,0.581056,0.329856
21,0.561333,0.356326
22,0.538251,0.387116
