Iteration,rel. Discrepancy,Norm
0,1,0
1,0.864198,0.113866
2,0.814828,0.195388
3,0.781798,0.279747
4,0.757481,0.356404
5,0.686961,0.629598
6,0.647519,0.796627
7,0.61817,0.92783
8,0.563579,1.1798
