Iteration,rel. Discrepancy,Norm
0,1,0
1,0.989577,0.00165621
2,0.977939,0.00471514
3,0.973235,0.00648671
4,0.968634,0.00890614
5,0.960823,0.014472
6,0.958903,0.0160658
7,0.957326,0.0174615
8,0.954972,0.019825
9,0.952187,0.0229849
10,0.950687,0.0249127
11,0.948773,0.0277507
12,0.948022,0.0289759
13,0.946158,0.0323351
14,0.944606,0.0354152
15,0.943405,0.0379792
16,0.942228,0.0406365
17,0.941271,0.0429121
18,0.939318,0.0479048
19,0.938474,0.0501897
20,0.936083,0.0570391
21,0.934449,0.0619848
22,0.932465,0.0682428
23,0.930673,0.0741151
24,0.928865,0.0802464
25,0.926586,0.0882241
26,0.92124,0.107731
27,0.918954,0.11631
28,0.911712,0.144091
29,0.906919,0.162803
30,0.9018,0.182976
31,0.893684,0.215223
32,0.886375,0.244361
33,0.87275,0.298681
