Tolerance,Required Steps
0.9,1
0.9,1
0.854145,1
0.810626,1
0.769325,1
0.730128,1
0.692928,2
0.657623,2
0.624117,2
0.592318,2
0.56214,4
0.533499,6
0.506317,10
0.703086,11
0.729348,14
0.786558,15
0.799987,18
0.832489,18
0.831656,22
0.861402,19
0.817514,23
0.848401,5
0.805175,28
0.764151,33
0.799086,40
0.833412,8
0.790949,48
0.964193,3
0.915067,9
0.868445,12
0.900432,21
0.942161,33
0.96223,9
0.913205,42
0.98042,3
0.930467,26
0.88306,29
0.894262,53
0.941201,4
0.893247,34
0.847736,38
0.8629,72
0.926714,3
0.879498,7
0.834688,10
0.883397,17
0.930479,27
0.955271,44
0.97158,54
0.975866,49
0.926146,72
0.948788,3
0.900448,75
0.85457,78
0.859303,149
0.92542,4
0.87827,97
0.833522,101
0.839275,198
0.917096,3
0.87037,10
0.826025,13
0.865307,23
0.922945,36
0.94982,59
0.968412,95
0.979402,102
0.979835,114
0.980975,110
0.930995,180
0.956872,3
0.90812,19
0.861851,22
0.879809,41
0.934572,63
0.956462,104
0.972653,167
0.981986,7
0.931954,174
0.996265,2
0.945506,176
0.897332,178
0.897587,354
0.947556,2
0.899278,3
0.85346,5
0.809976,8
0.768708,13
0.856809,21
0.910446,34
0.943743,55
0.964258,89
0.976934,144
0.984758,196
0.987813,20
0.937484,216
0.993217,5
0.942613,221
0.894587,226
0.896022,447
0.946482,2
0.898259,5
0.852492,7
0.809058,12
0.887729,19
0.928163,31
0.955015,50
0.971137,81
0.981201,131
0.987388,212
0.991214,27
0.940712,239
0.992309,266
0.992096,124
0.941549,390
0.980434,2
0.930481,53
0.883073,55
0.886438,108
0.941225,163
0.960096,271
0.975023,434
0.983419,17
0.933314,451
0.996489,1
0.945718,452
0.897533,453
0.896862,905
0.947426,1
0.899154,1
0.853342,2
0.809865,3
0.768602,5
0.729442,8
0.692277,13
0.809821,21
0.881388,34
0.925813,55
0.953185,89
0.970098,2
0.920672,91
0.873763,93
0.875602,184
0.936188,1
0.888489,1
0.84322,1
0.800258,2
0.759485,3
0.720789,5
0.684065,8
0.694121,13
0.810955,21
0.882089,34
0.926246,55
0.953452,89
0.970263,1
0.920828,90
0.873912,91
